date;province;ine_code;ccaa;new_cases;PCR;TestAc;activos;hospitalized;hospitalized_accumulated;hospitalized_new;intensive_care;deceased;cases_accumulated;cases_accumulated_PCR;recovered;deceased_hosp_eus;num_casos;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_ag;num_casos_prueba_elisa;num_casos_prueba_desconocida;num_casos_cum1;num_casos2;num_hosp;num_uci;num_def;num_casos_cum2;num_hosp_cum;num_uci_cum;num_def_cum;poblacion;cases_per_cienmil;intensive_care_per_1000000;deceassed_per_100000;hospitalized_per_100000;cases_14days;cases_7days;cases_PCR_14days;cases_PCR_7days;daily_cases;daily_cases_avg7;daily_cases_PCR;daily_cases_PCR_avg7;daily_deaths;daily_deaths_hosp_eus;daily_deaths_inc;daily_deaths_avg3;daily_deaths_avg7;daily_deaths_avg7_hosp_eus;deaths_last_week;num_casos_avg7;num_casos_prueba_pcr_avg7;num_casos2_avg7;ia14;source_name;source;comments
01/05/2021;Albacete;2;Castilla - La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;3;0;0;27553;3319;385;836;388167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;
01/05/2021;Alicante/Alacant;3;Comunitat Valenciana;82;0;0;0;0;0;0;0;2787;146448;0;0;0;0;0;0;0;0;0;0;25;1;0;0;145984;12754;1322;2789;1858683;787913;0;14994;0;688;364;0;0;82;52;0;0;2;0;1;27;19;0;14;0;0;471;37;0;0;No hay más datos
01/05/2021;Almería;4;Andalucía;0;0;0;0;0;0;0;0;805;53237;0;0;0;0;0;0;0;0;0;0;46;7;2;2;53023;3643;631;798;716820;742683;0;1123;0;1708;742;0;0;99;1221;0;0;1;0;1;1;13;0;8;0;0;926;2383;0;0;0
01/05/2021;Araba/Álava;1;País Vasco;75;0;0;0;0;0;0;0;725;27489;0;0;0;0;0;0;0;0;0;0;75;6;0;0;27664;2587;214;721;331549;829108;0;21867;0;1237;561;0;0;75;801;0;0;0;0;0;0;9;0;6;0;0;781;3731;"Open Data Euskadi;Open Data Euskadi";"https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx";"Indica ""pruebas diagnósticas"". 4 casos de otras comunidades autónomas u otras procedencias"
01/05/2021;Asturias;33;Asturias, Principado de;79;76;3;0;143;0;0;53;1951;50881;48156;0;0;0;0;0;0;0;0;0;79;10;1;0;50883;8368;730;1949;1022800;497468;518;19075;1398;1453;630;1370;601;79;90;76;859;0;0;0;7;4;0;3;0;0;90;1339;Dirección General de Salud del Principado de Asturias;"https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/;https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/_w_0ecb484e/DATOS/TABLAS_RESUMEN/asturias_resumen.csv";0
01/05/2021;Ávila;5;Castilla y León;19;0;0;0;10;0;0;8;730;0;12483;0;0;0;0;0;0;0;0;0;6;2;0;0;11620;1541;80;440;157640;0;507;46308;634;0;0;199;104;19;149;19;149;0;0;0;3;1;0;1;0;0;141;1262;0;0;
01/05/2021;Badajoz;6;Extremadura;39;0;0;0;34;0;0;5;903;0;49737;0;0;0;0;0;0;0;0;0;33;3;1;1;48664;3390;310;916;673559;0;74;13406;505;0;0;764;340;39;486;39;486;1;0;1;3;4;0;3;0;0;48;1134;0;0;
01/05/2021;Balears, Illes;7;Balears, Illes;0;66;0;0;41;0;0;24;821;59149;0;0;0;0;0;0;0;0;0;0;60;5;2;0;59423;4581;726;834;1149460;514581;209;7142;357;731;400;725;390;61;559;66;557;0;0;0;3;24;0;16;0;0;597;631;Conselleria de Salut i Consum - Govern Illes Balears;https://www.caib.es/sites/covid-19/es/situacion_sanitaria_covid-19/;
01/05/2021;Barcelona;8;Cataluña;0;222;0;0;1061;0;0;277;17706;476768;441065;0;0;0;0;0;0;0;0;0;386;34;7;3;432309;34673;2868;11107;5664579;841665;489;31257;1873;15393;7450;14781;7132;433;10643;407;10189;6;0;0;97;97;0;68;0;0;11807;2609;Transparencia Catalunya;https://analisi.transparenciacatalunya.cat/Salut/Dades-di-ries-de-COVID-19-per-rees-de-gesti-assist/dmzh-fz47;0
01/05/2021;Bizkaia;48;País Vasco;298;0;0;0;0;0;0;0;2317;94399;0;0;0;0;0;0;0;0;0;0;290;30;2;5;94634;10287;899;2404;1152651;818973;0;20101;0;5223;2551;0;0;298;3644;0;0;0;0;0;0;31;0;22;0;0;3593;4531;"Open Data Euskadi;Open Data Euskadi";"https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx";"Indica ""pruebas diagnósticas"". 4 casos de otras comunidades autónomas u otras procedencias"
01/05/2021;Burgos;9;Castilla y León;67;0;0;0;71;0;0;17;1363;0;34897;0;0;0;0;0;0;0;0;0;55;7;0;0;33343;3895;356;812;356958;0;476;38184;1989;0;0;1131;614;67;877;67;877;0;0;0;1;7;0;5;0;0;85;3168;0;0;
01/05/2021;Cáceres;10;Extremadura;25;0;0;0;28;0;0;9;853;0;24323;0;0;0;0;0;0;0;0;0;25;0;0;0;24731;2516;204;860;394151;0;228;21641;71;0;0;406;223;25;319;25;319;0;0;0;0;3;0;2;0;0;32;103;0;0;
01/05/2021;Cádiz;11;Andalucía;0;0;0;0;0;0;0;0;1445;78850;0;0;0;0;0;0;0;0;0;0;72;11;3;2;77233;5423;619;1408;1240155;635808;0;11652;0;2070;886;0;0;144;1397;0;0;2;0;1;27;29;0;14;0;0;1081;1669;0;0;0
01/05/2021;Cantabria;39;Cantabria;0;74;0;0;107;0;0;22;561;30106;28736;0;0;0;0;0;0;0;0;0;74;13;3;0;28955;3105;434;557;581078;518106;379;9654;1841;1487;709;1495;714;74;1013;74;102;0;0;0;0;3;0;2;0;0;1014;2573;Servicio Cántabro de Salud;"https://serviweb.scsalud.es:10443/ficheros/COVID19_historico.csv;https://www.scsalud.es/coronavirus";0
01/05/2021;Castellón/Castelló;12;Comunitat Valenciana;31;0;0;0;0;0;0;0;795;40300;0;0;0;0;0;0;0;0;0;0;29;1;0;1;39986;3448;424;792;579962;694873;0;13708;0;496;234;0;0;31;334;0;0;1;0;1;3;7;0;4;0;0;317;855;0;0;No hay más datos
01/05/2021;Ceuta;51;Ceuta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;5762;372;50;106;84777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;57;0;0;0;0
01/05/2021;Ciudad Real;13;Castilla - La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;2;0;1;45093;5611;318;1708;495761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;707;0;0;0;
01/05/2021;Córdoba;14;Andalucía;0;0;0;0;0;0;0;0;938;50175;0;0;0;0;0;0;0;0;0;0;47;7;0;0;49891;4304;528;936;782979;640822;0;1198;0;1597;779;0;0;121;1179;0;0;0;0;0;3;11;0;6;0;0;969;204;0;0;0
01/05/2021;Coruña, A;15;Galicia;0;0;0;0;102;0;0;18;1162;57273;0;0;0;0;0;0;0;0;0;0;45;4;2;0;54397;6254;987;1102;1119596;511551;161;10379;911;957;490;0;0;63;70;63;70;0;0;0;3;1;0;1;0;0;636;855;0;0;0
01/05/2021;Cuenca;16;Castilla - La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;1;0;0;20210;2489;142;556;196329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;229;0;0;0;
01/05/2021;Gipuzkoa;20;País Vasco;208;0;0;0;0;0;0;0;1178;64098;0;0;0;0;0;0;0;0;0;0;209;0;0;3;64922;2562;263;1193;723576;88585;0;1628;0;4899;2280;0;0;211;3257;0;0;0;0;0;0;26;0;18;0;0;3253;6771;"Open Data Euskadi;Open Data Euskadi";"https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx";"Indica ""pruebas diagnósticas"". 4 casos de otras comunidades autónomas u otras procedencias"
01/05/2021;Girona;17;Cataluña;0;52;0;0;186;0;0;51;2104;63885;61406;0;0;0;0;0;0;0;0;0;118;1;0;1;60109;1925;178;1414;771044;828552;661;27288;2412;2947;1515;2924;1510;96;2164;96;2157;1;0;0;13;17;0;12;0;0;2201;3792;Transparencia Catalunya;https://analisi.transparenciacatalunya.cat/Salut/Dades-di-ries-de-COVID-19-per-rees-de-gesti-assist/dmzh-fz47;0
